"Dev comments","Record ID","src_enUS","PTfixPing","tg_frFR","tg_deDE","tg_ptBR","tg_esLA","tg_jaJP","tg_zhCN","tg_plPL","tg_ukUA","tg_ruRU","tg_trTR","Last modified time","Path"
,"ST_HW_Achilles_AbilityNames,Achilles.A01","Shield of Achilles","true","Bouclier d'Achille","Schild des Achilles","Escudo de Aquiles","Escudo de Aquiles","アキレスの盾","阿克琉斯之盾","Tarcza Achillesa","Щит Ахілла","Щит Ахилла","Achilles'in Kalkanı","2025-04-08T15:42:41Z","ST_HW_Achilles_AbilityNames"
,"ST_HW_Achilles_AbilityNames,Achilles.A02","Radiant Glory","true","Gloire et splendeur","Glanz und Gloria","Glória Radiante","Gloria radiante","名誉の輝き","辉煌荣耀","Promieniująca Chwała","Блиск слави","Сияние славы","Işıltılı İhtişam","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
"","ST_HW_Achilles_AbilityNames,Achilles.A03","Combat Dodge","true","Esquive dynamique","Ausweichen","Esquiva de Combate","Esquivar en combate","コンバットドッジ","战斗闪避","Unik w Boju","Ухилення","Уклонение","Cenk Atlayışı","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
,"ST_HW_Achilles_AbilityNames,Achilles.A04","Fatal Strike","true","Frappe fatale","Tödlicher Schlag","Golpe Fatal","Golpe fatal","破滅の一撃","致命打击","Fatalne Uderzenie","Смертельний удар","Смертельный удар","Ölümcül Vuruş","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
"","ST_HW_Achilles_AbilityNames,Achilles.A04.Debuff","Achilles' Heel","true","Talon d'Achille","Wunder Punkt","Calcanhar de Aquiles","Talón de Aquiles","アキレスのかかと","阿克琉斯之踵","Pięta Achillesa","Ахіллесова п'ята","Ахиллесова пята","Achilles'in Topuğu","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
"","ST_HW_Achilles_AbilityNames,Achilles.B03","Spear Strike","true","Coup de lance","Speerangriff","Ataque de Lança","Golpe de lanza","槍突き","长矛反击","Uderzenie Włócznią","Удар списом","Атака копьем","Mızrak Vuruşu","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
,"ST_HW_Achilles_AbilityNames,Achilles.Basic","Achilles Basic Attack","true","Attaque de base d'Achille","Grundangriff Achilles","Ataque Básico de Aquiles","Ataque básico de Aquiles","アキレス基本攻撃","阿克琉斯普通攻击","Atak podstawowy Achillesa","Базова атака Ахілла","Базовая атака Ахилла","Achilles Temel Saldırı","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
,"ST_HW_Achilles_AbilityNames,Achilles.PSV","Gift of the Gods","true","Béni des dieux","Geschenk der Götter","Presente dos deuses","Regalo de los dioses","神々の恩恵","众神的恩赐","Dar Bogów","Дар богів","Дар богов","Tanrıların Armağanı","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
"","ST_HW_Achilles_AbilityNames,Khepri.A01","Abduct","true","Enlèvement","Verschleppen","Abduzir","Abducir","拉致","飞掠","Uprowadzenie","Викрадання","Похищение","Kaçırma","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
"","ST_HW_Achilles_AbilityNames,Khepri.A02","Rising Dawn","true","Arrivée de l'aube","Morgendämmerung","Alvorecer","Sol naciente","昇る夜明け","滚动烈阳","Wstający Świt","Світанок","Восходящее солнце","Doğan Güneş","2025-04-08T15:42:53Z","ST_HW_Achilles_AbilityNames"
